,zipcode
814,98034
815,98119
816,98056
817,98144
818,98148
819,98178
820,98118
821,98023
822,98107
823,98029
824,98126
825,98075
826,98005
827,98178
828,98030
829,98117
830,98125
831,98136
832,98056
833,98059
834,98117
835,98006
836,98003
837,98058
838,98178
839,98030
840,98103
841,98014
842,98146
843,98109
844,98199
845,98107
846,98027
847,98107
848,98058
849,98052
850,98034
851,98040
852,98053
853,98001
854,98177
855,98168
856,98144
857,98059
858,98092
859,98118
860,98155
861,98001
862,98074
863,98052
864,98072
865,98008
866,98155
867,98022
868,98052
869,98133
870,98168
871,98144
872,98126
873,98034
874,98023
875,98056
876,98045
877,98019
878,98003
879,98014
880,98199
881,98116
882,98136
883,98029
884,98034
885,98023
886,98136
887,98033
888,98045
889,98042
890,98117
891,98053
892,98115
893,98008
894,98028
895,98118
896,98065
897,98029
898,98053
899,98034
900,98019
901,98033
902,98034
903,98023
904,98040
905,98042
906,98033
907,98003
908,98033
909,98177
910,98011
911,98065
912,98053
913,98115
914,98075
915,98007
916,98146
917,98103
918,98116
919,98188
920,98038
921,98148
922,98177
923,98136
924,98155
925,98001
926,98058
927,98144
928,98122
929,98118
930,98052
931,98034
932,98075
933,98027
934,98177
935,98133
936,98122
937,98042
938,98038
939,98146
940,98058
941,98031
942,98001
943,98027
944,98003
945,98126
946,98040
947,98006
948,98177
949,98155
950,98023
951,98178
952,98144
953,98126
954,98027
955,98105
956,98166
957,98075
958,98077
959,98125
960,98029
961,98014
962,98034
963,98177
964,98103
965,98155
966,98155
967,98003
968,98034
969,98199
970,98028
971,98005
972,98042
973,98126
974,98146
975,98038
976,98038
977,98031
978,98188
979,98077
980,98005
981,98038
982,98003
983,98118
984,98042
985,98072
986,98010
987,98119
988,98027
989,98023
990,98155
991,98045
992,98023
993,98075
994,98027
995,98115
996,98033
997,98092
998,98125
999,98001
1000,98053
1001,98133
1002,98107
1003,98056
1004,98023
1005,98001
1006,98008
1007,98045
1008,98042
1009,98103
1010,98107
1011,98038
1012,98029
1013,98155
1014,98027
1015,98004
1016,98034
1017,98027
1018,98055
1019,98168
1020,98039
1021,98112
1022,98034
1023,98108
1024,98005
1025,98002
1026,98004
1027,98052
1028,98133
1029,98115
1030,98030
1031,98029
1032,98027
1033,98001
1034,98103
1035,98155
1036,98178
1037,98122
1038,98059
1039,98055
1040,98122
1041,98072
1042,98077
1043,98115
1044,98112
1045,98052
1046,98011
1047,98003
1048,98019
1049,98005
1050,98106
1051,98011
1052,98042
1053,98115
1054,98004
1055,98115
1056,98038
1057,98092
1058,98133
1059,98034
1060,98117
1061,98117
1062,98023
1063,98040
1064,98006
1065,98117
1066,98155
1067,98023
1068,98011
1069,98011
1070,98004
1071,98055
1072,98040
1073,98023
1074,98042
1075,98092
1076,98168
1077,98056
1078,98126
1079,98042
1080,98052
1081,98031
1082,98030
1083,98001
1084,98031
1085,98033
1086,98115
1087,98115
1088,98107
1089,98019
1090,98092
1091,98166
1092,98023
1093,98042
1094,98118
1095,98115
1096,98038
1097,98039
1098,98126
1099,98011
1100,98155
1101,98052
1102,98045
1103,98028
1104,98133
1105,98038
1106,98074
1107,98042
1108,98038
1109,98107
1110,98126
1111,98007
1112,98092
1113,98075
1114,98178
1115,98126
1116,98053
1117,98004
1118,98056
1119,98010
1120,98102
1121,98011
1122,98188
1123,98122
1124,98117
1125,98003
1126,98115
1127,98118
1128,98004
1129,98028
1130,98116
1131,98199
1132,98033
1133,98065
1134,98024
1135,98092
1136,98122
1137,98034
1138,98178
1139,98022
1140,98198
1141,98038
1142,98058
1143,98116
1144,98053
1145,98003
1146,98006
1147,98115
1148,98040
1149,98112
1150,98072
1151,98023
1152,98052
1153,98106
1154,98168
1155,98040
1156,98118
1157,98117
1158,98133
1159,98119
1160,98001
1161,98040
1162,98107
1163,98003
1164,98146
1165,98115
1166,98052
1167,98056
1168,98178
1169,98119
1170,98074
1171,98029
1172,98031
1173,98116
1174,98075
1175,98052
1176,98177
1177,98155
1178,98006
1179,98001
1180,98126
1181,98006
1182,98058
1183,98119
1184,98199
1185,98125
1186,98072
1187,98199
1188,98115
1189,98059
1190,98006
1191,98038
1192,98007
1193,98126
1194,98117
1195,98065
1196,98059
1197,98198
1198,98125
1199,98106
1200,98074
1201,98006
1202,98107
1203,98040
1204,98126
1205,98010
1206,98056
1207,98074
1208,98040
1209,98126
1210,98166
1211,98042
1212,98109
1213,98107
1214,98059
1215,98011
1216,98177
1217,98077
1218,98029
1219,98115
1220,98023
1221,98058
1222,98045
1223,98058
1224,98188
1225,98042
1226,98058
1227,98115
1228,98118
1229,98001
1230,98115
1231,98115
1232,98103
1233,98178
1234,98042
1235,98042
1236,98056
1237,98103
1238,98042
1239,98199
1240,98115
1241,98155
1242,98038
1243,98045
1244,98074
1245,98102
1246,98122
1247,98029
1248,98177
1249,98038
1250,98166
1251,98040
1252,98122
1253,98155
1254,98125
1255,98072
1256,98133
1257,98034
1258,98155
1259,98118
1260,98103
1261,98034
1262,98075
1263,98077
1264,98023
1265,98166
1266,98019
1267,98022
1268,98006
1269,98168
1270,98117
1271,98042
1272,98115
1273,98144
1274,98059
1275,98112
1276,98072
1277,98112
1278,98029
1279,98028
1280,98155
1281,98028
1282,98040
1283,98034
1284,98146
1285,98148
1286,98045
1287,98198
1288,98004
1289,98115
1290,98004
1291,98168
1292,98105
1293,98122
1294,98023
1295,98065
1296,98042
1297,98052
1298,98003
1299,98019
1300,98055
1301,98117
1302,98023
1303,98003
1304,98133
1305,98125
1306,98029
1307,98065
1308,98001
1309,98001
1310,98146
1311,98002
1312,98053
1313,98059
1314,98055
1315,98011
1316,98056
1317,98115
1318,98106
1319,98001
1320,98133
1321,98028
1322,98118
1323,98146
1324,98106
1325,98126
1326,98188
1327,98006
1328,98004
1329,98055
1330,98177
1331,98102
1332,98045
1333,98027
1334,98107
1335,98155
1336,98199
1337,98177
1338,98003
1339,98115
1340,98107
1341,98001
1342,98038
1343,98030
1344,98107
1345,98155
1346,98136
1347,98118
1348,98072
1349,98033
1350,98116
1351,98155
1352,98052
1353,98056
1354,98034
1355,98117
1356,98033
1357,98040
1358,98058
1359,98004
1360,98031
1361,98030
1362,98125
1363,98031
1364,98042
1365,98033
1366,98023
1367,98133
1368,98155
1369,98055
1370,98052
1371,98103
1372,98074
1373,98027
1374,98034
1375,98103
1376,98108
1377,98106
1378,98077
1379,98168
1380,98030
1381,98118
1382,98103
1383,98003
1384,98034
1385,98022
1386,98058
1387,98075
1388,98117
1389,98166
1390,98166
1391,98103
1392,98177
1393,98011
1394,98178
1395,98006
1396,98115
1397,98133
1398,98133
1399,98029
1400,98023
1401,98112
1402,98040
1403,98106
1404,98072
1405,98032
1406,98168
1407,98040
1408,98055
1409,98030
1410,98198
1411,98108
1412,98115
1413,98122
1414,98177
1415,98034
1416,98199
1417,98117
1418,98006
1419,98092
1420,98052
1421,98144
1422,98027
1423,98029
1424,98056
1425,98038
1426,98034
1427,98002
1428,98115
1429,98125
1430,98115
1431,98023
1432,98038
1433,98105
1434,98133
1435,98029
1436,98092
1437,98198
1438,98032
1439,98107
1440,98106
1441,98144
1442,98032
1443,98058
1444,98052
1445,98126
1446,98198
1447,98028
1448,98103
1449,98144
1450,98031
1451,98030
1452,98102
1453,98030
1454,98118
1455,98058
1456,98006
1457,98074
1458,98177
1459,98198
1460,98136
1461,98004
1462,98058
1463,98092
1464,98109
1465,98003
1466,98022
1467,98107
1468,98039
1469,98027
1470,98045
1471,98118
1472,98178
1473,98031
1474,98053
1475,98092
1476,98052
1477,98155
1478,98058
1479,98024
1480,98125
1481,98115
1482,98008
1483,98030
1484,98115
1485,98125
1486,98042
1487,98198
1488,98004
1489,98117
1490,98053
1491,98105
1492,98122
1493,98133
1494,98006
1495,98117
1496,98058
1497,98065
1498,98042
1499,98166
1500,98133
1501,98053
1502,98033
1503,98040
1504,98105
1505,98119
1506,98045
1507,98038
1508,98014
1509,98074
1510,98010
1511,98030
1512,98053
1513,98155
1514,98007
1515,98115
1516,98117
1517,98178
1518,98133
1519,98045
1520,98075
1521,98126
1522,98034
1523,98126
1524,98117
1525,98042
1526,98074
1527,98112
1528,98058
1529,98031
1530,98106
1531,98118
1532,98072
1533,98146
1534,98033
1535,98103
1536,98116
1537,98092
1538,98052
1539,98106
1540,98126
1541,98198
1542,98058
1543,98155
1544,98109
1545,98178
1546,98056
1547,98027
1548,98034
1549,98008
1550,98008
1551,98005
1552,98116
1553,98033
1554,98042
1555,98023
1556,98033
1557,98074
1558,98065
1559,98001
1560,98144
1561,98074
1562,98056
1563,98107
1564,98136
1565,98065
1566,98033
1567,98118
1568,98040
1569,98058
1570,98144
1571,98125
1572,98033
1573,98027
1574,98177
1575,98103
1576,98034
1577,98038
1578,98029
1579,98006
1580,98117
1581,98033
1582,98125
1583,98038
1584,98106
1585,98030
1586,98125
1587,98040
1588,98168
1589,98005
1590,98010
1591,98118
1592,98168
1593,98112
1594,98144
1595,98022
1596,98115
1597,98074
1598,98055
1599,98004
1600,98103
1601,98126
1602,98122
1603,98008
1604,98065
1605,98115
1606,98005
1607,98002
1608,98136
1609,98146
1610,98022
1611,98112
1612,98148
1613,98038
1614,98023
1615,98116
1616,98023
1617,98117
1618,98034
1619,98065
1620,98031
1621,98075
1622,98028
1623,98103
1624,98004
1625,98166
1626,98004
1627,98077
1628,98008
1629,98031
1630,98006
1631,98199
1632,98023
1633,98052
1634,98136
1635,98136
1636,98108
1637,98055
1638,98075
1639,98027
1640,98058
1641,98038
1642,98052
1643,98144
1644,98006
1645,98115
1646,98168
1647,98102
1648,98055
1649,98038
1650,98042
1651,98059
1652,98002
1653,98155
1654,98155
1655,98102
1656,98155
1657,98072
1658,98001
1659,98112
1660,98038
1661,98007
1662,98031
1663,98177
1664,98074
1665,98144
1666,98119
1667,98011
1668,98072
1669,98072
1670,98034
1671,98052
1672,98001
1673,98112
1674,98014
1675,98059
1676,98027
1677,98106
1678,98166
1679,98045
1680,98074
1681,98199
1682,98103
1683,98033
1684,98112
1685,98117
1686,98117
1687,98144
1688,98125
1689,98133
1690,98038
1691,98117
1692,98077
1693,98199
1694,98117
1695,98053
1696,98119
1697,98122
1698,98199
1699,98023
1700,98058
1701,98008
1702,98033
1703,98022
1704,98042
1705,98075
1706,98002
1707,98004
1708,98117
1709,98199
1710,98117
1711,98065
1712,98178
1713,98125
1714,98148
1715,98119
1716,98077
1717,98004
1718,98002
1719,98103
1720,98038
1721,98058
1722,98108
1723,98019
1724,98010
1725,98027
1726,98059
1727,98136
1728,98058
1729,98119
1730,98136
1731,98125
1732,98004
1733,98117
1734,98031
1735,98006
1736,98033
1737,98070
1738,98042
1739,98199
1740,98056
1741,98058
1742,98023
1743,98059
1744,98103
1745,98056
1746,98112
1747,98030
1748,98038
1749,98023
1750,98122
1751,98115
1752,98188
1753,98029
1754,98059
1755,98027
1756,98107
1757,98105
1758,98034
1759,98019
1760,98198
1761,98136
1762,98136
1763,98074
1764,98034
1765,98177
1766,98136
1767,98065
1768,98003
1769,98118
1770,98077
1771,98053
1772,98198
1773,98038
1774,98074
1775,98122
1776,98019
1777,98038
1778,98034
1779,98168
1780,98168
1781,98112
1782,98003
1783,98117
1784,98103
1785,98125
1786,98006
1787,98038
1788,98033
1789,98108
1790,98105
1791,98118
1792,98059
1793,98118
1794,98072
1795,98198
1796,98038
1797,98126
1798,98001
1799,98001
1800,98116
1801,98188
1802,98003
1803,98002
1804,98008
1805,98065
1806,98023
1807,98115
1808,98056
1809,98008
1810,98006
1811,98053
1812,98125
1813,98075
1814,98108
1815,98027
1816,98118
1817,98102
1818,98108
1819,98027
1820,98105
1821,98042
1822,98199
1823,98006
1824,98115
1825,98058
1826,98103
1827,98030
1828,98074
1829,98059
1830,98034
1831,98155
1832,98038
1833,98040
1834,98106
1835,98034
1836,98027
1837,98031
1838,98065
1839,98125
1840,98092
1841,98102
1842,98115
1843,98027
1844,98004
1845,98052
1846,98007
1847,98011
1848,98155
1849,98103
1850,98052
1851,98198
1852,98052
1853,98117
1854,98112
1855,98010
1856,98115
1857,98144
1858,98115
1859,98199
1860,98055
1861,98168
1862,98003
1863,98125
1864,98075
1865,98027
1866,98040
1867,98075
1868,98126
1869,98108
1870,98028
1871,98045
1872,98003
1873,98199
1874,98003
1875,98038
1876,98042
1877,98118
1878,98014
1879,98106
1880,98034
1881,98004
1882,98118
1883,98042
1884,98065
1885,98116
1886,98077
1887,98030
1888,98038
1889,98045
1890,98022
1891,98032
1892,98103
1893,98117
1894,98058
1895,98052
1896,98118
1897,98103
1898,98075
1899,98034
1900,98019
1901,98144
1902,98075
1903,98059
1904,98045
1905,98040
1906,98077
1907,98003
1908,98144
1909,98002
1910,98006
1911,98155
1912,98058
1913,98166
1914,98053
1915,98059
1916,98011
1917,98125
1918,98006
1919,98106
1920,98059
1921,98092
1922,98115
1923,98117
1924,98053
1925,98027
1926,98092
1927,98074
1928,98040
1929,98038
1930,98198
1931,98006
1932,98103
1933,98003
1934,98146
1935,98133
1936,98117
1937,98053
1938,98103
1939,98107
1940,98199
1941,98058
1942,98040
1943,98178
1944,98038
1945,98034
1946,98040
1947,98144
1948,98177
1949,98031
1950,98042
1951,98199
1952,98058
1953,98058
1954,98074
1955,98027
1956,98072
1957,98133
1958,98144
1959,98038
1960,98002
1961,98199
1962,98008
1963,98075
1964,98112
1965,98122
1966,98042
1967,98045
1968,98027
1969,98038
1970,98028
1971,98102
1972,98056
1973,98133
1974,98107
1975,98107
1976,98034
1977,98155
1978,98115
1979,98004
1980,98023
1981,98024
1982,98065
1983,98075
1984,98168
1985,98077
1986,98053
1987,98027
1988,98003
1989,98059
1990,98059
1991,98052
1992,98004
1993,98077
1994,98038
1995,98178
1996,98074
1997,98177
1998,98136
1999,98118
2000,98117
2001,98059
2002,98028
2003,98023
2004,98059
2005,98112
2006,98022
2007,98136
2008,98053
2009,98030
2010,98115
2011,98033
2012,98072
2013,98146
2014,98115
2015,98092
2016,98028
2017,98033
2018,98055
2019,98092
2020,98059
2021,98029
2022,98126
2023,98005
2024,98011
2025,98055
2026,98052
2027,98038
2028,98065
2029,98074
2030,98092
2031,98042
2032,98119
2033,98107
2034,98006
2035,98115
2036,98011
2037,98055
2038,98002
2039,98056
2040,98034
2041,98038
2042,98146
2043,98056
2044,98023
2045,98198
2046,98032
2047,98133
2048,98118
2049,98115
2050,98125
2051,98052
2052,98075
2053,98072
2054,98199
2055,98038
2056,98188
2057,98005
2058,98039
2059,98117
2060,98072
2061,98117
2062,98136
2063,98019
2064,98133
2065,98125
2066,98023
2067,98074
2068,98065
2069,98058
2070,98058
2071,98023
2072,98077
2073,98052
2074,98023
2075,98118
2076,98011
2077,98126
2078,98146
2079,98001
2080,98042
2081,98030
2082,98042
2083,98103
2084,98030
2085,98148
2086,98055
2087,98033
2088,98133
2089,98056
2090,98028
2091,98117
2092,98126
2093,98029
2094,98052
2095,98126
2096,98155
2097,98030
2098,98074
2099,98178
2100,98045
2101,98077
2102,98042
2103,98125
2104,98199
2105,98117
2106,98029
2107,98006
2108,98058
2109,98107
2110,98045
2111,98019
2112,98059
2113,98023
2114,98188
2115,98103
2116,98031
2117,98053
2118,98053
2119,98125
2120,98065
2121,98034
2122,98116
2123,98166
2124,98059
2125,98038
2126,98014
2127,98052
2128,98045
2129,98001
2130,98166
2131,98122
2132,98007
2133,98117
2134,98118
2135,98065
2136,98074
2137,98056
2138,98125
2139,98166
2140,98040
2141,98105
2142,98056
2143,98198
2144,98133
2145,98056
2146,98008
2147,98001
2148,98126
2149,98146
2150,98146
2151,98006
2152,98107
2153,98126
2154,98074
2155,98006
2156,98117
2157,98001
2158,98027
2159,98070
2160,98055
2161,98059
2162,98031
2163,98133
2164,98092
2165,98102
2166,98034
2167,98115
2168,98119
2169,98032
2170,98053
2171,98118
2172,98004
2173,98133
2174,98198
2175,98074
2176,98103
2177,98199
2178,98198
2179,98055
2180,98166
2181,98115
2182,98133
2183,98177
2184,98052
2185,98136
2186,98007
2187,98045
2188,98028
2189,98053
2190,98027
2191,98056
2192,98072
2193,98125
2194,98199
2195,98032
2196,98007
2197,98070
2198,98177
2199,98092
2200,98045
2201,98039
2202,98052
2203,98144
2204,98126
2205,98033
2206,98168
2207,98188
2208,98199
2209,98146
2210,98034
2211,98053
2212,98119
2213,98042
2214,98058
2215,98136
2216,98028
2217,98034
2218,98002
2219,98125
2220,98117
2221,98133
2222,98006
2223,98166
2224,98006
2225,98178
2226,98005
2227,98065
2228,98117
2229,98014
2230,98115
2231,98125
2232,98039
2233,98146
2234,98092
2235,98116
2236,98031
2237,98122
2238,98077
2239,98092
2240,98103
2241,98005
2242,98053
2243,98177
2244,98077
2245,98117
2246,98040
2247,98031
2248,98053
2249,98144
2250,98052
2251,98056
2252,98092
2253,98031
2254,98023
2255,98058
2256,98029
2257,98001
2258,98122
2259,98002
2260,98004
2261,98070
2262,98125
2263,98038
2264,98034
2265,98177
2266,98105
2267,98107
2268,98029
2269,98103
2270,98027
2271,98144
2272,98117
2273,98103
2274,98022
2275,98031
2276,98030
2277,98107
2278,98177
2279,98042
2280,98103
2281,98122
2282,98005
2283,98115
2284,98003
2285,98059
2286,98058
2287,98030
2288,98006
2289,98059
2290,98053
2291,98059
2292,98075
2293,98155
2294,98032
2295,98023
2296,98014
2297,98032
2298,98058
2299,98126
2300,98118
2301,98031
2302,98103
2303,98038
2304,98059
2305,98105
2306,98003
2307,98023
2308,98118
2309,98144
2310,98038
2311,98019
2312,98033
2313,98065
2314,98032
2315,98125
2316,98033
2317,98116
2318,98118
2319,98117
2320,98027
2321,98125
2322,98122
2323,98178
2324,98072
2325,98034
2326,98118
2327,98105
2328,98024
2329,98014
2330,98106
2331,98103
2332,98006
2333,98178
2334,98056
2335,98032
2336,98038
2337,98006
2338,98039
2339,98119
2340,98059
2341,98030
2342,98105
2343,98031
2344,98112
2345,98103
2346,98053
2347,98010
2348,98040
2349,98198
2350,98008
2351,98168
2352,98053
2353,98126
2354,98034
2355,98028
2356,98106
2357,98178
2358,98146
2359,98058
2360,98032
2361,98023
2362,98118
2363,98177
2364,98125
2365,98075
2366,98103
2367,98040
2368,98146
2369,98074
2370,98133
2371,98108
2372,98038
2373,98077
2374,98122
2375,98052
2376,98004
2377,98166
2378,98122
2379,98118
2380,98144
2381,98042
2382,98056
2383,98053
2384,98023
2385,98072
2386,98027
2387,98155
2388,98199
2389,98075
2390,98133
2391,98133
2392,98126
2393,98019
2394,98006
2395,98155
2396,98052
2397,98125
2398,98031
2399,98024
2400,98133
2401,98031
2402,98056
2403,98053
2404,98052
2405,98118
2406,98126
2407,98038
2408,98033
2409,98023
2410,98023
2411,98168
2412,98014
2413,98033
2414,98148
2415,98022
2416,98001
2417,98119
2418,98092
2419,98133
2420,98053
2421,98045
2422,98112
2423,98122
2424,98118
2425,98014
2426,98122
2427,98178
2428,98003
2429,98065
2430,98070
2431,98042
2432,98042
2433,98155
2434,98042
2435,98053
2436,98045
2437,98106
2438,98034
2439,98052
2440,98177
2441,98027
2442,98136
2443,98116
2444,98115
2445,98053
2446,98148
2447,98019
2448,98188
2449,98146
2450,98125
2451,98034
2452,98024
2453,98059
2454,98117
2455,98177
2456,98133
2457,98168
2458,98052
2459,98056
2460,98144
2461,98133
2462,98040
2463,98155
2464,98106
2465,98014
2466,98059
2467,98077
2468,98042
2469,98133
2470,98032
2471,98133
2472,98103
2473,98107
2474,98074
2475,98008
2476,98074
2477,98027
2478,98075
2479,98019
2480,98042
2481,98029
2482,98103
2483,98034
2484,98103
2485,98177
2486,98103
2487,98042
2488,98136
2489,98105
2490,98075
2491,98033
2492,98058
2493,98042
2494,98022
2495,98058
2496,98074
2497,98053
